"","X..","X.DateOccur.","X.Count.","X.Crime.","X.District.","X.Neighborhood.","X.XCoord.","X.YCoord."
"18233","""18233""","""05/11/2015 12:00""",1,112010,0,0,0,0
"18234","""18234""","""05/11/2015 12:00""",1,69602,2,14,884388.6,1004515
"18235","""18235""","""05/11/2015 12:12""",1,64711,4,64,909156.6,1025177
"18236","""18236""","""05/11/2015 12:22""",1,91113,4,35,906343.9,1016785
"18237","""18237""","""05/11/2015 12:25""",1,42013,1,2,887171.3,985526.8
"18238","""18238""","""05/11/2015 12:30""",1,91113,3,25,895751.5,1007882
"18239","""18239""","""05/11/2015 12:46""",1,265321,3,16,897315.7,1002430
"18240","""18240""","""05/11/2015 12:53""",1,178200,4,35,0,0
"18241","""18241""","""05/11/2015 12:58""",1,142320,1,17,894500.8,994962.5
"18242","""18242""","""05/11/2015 13:00""",1,67701,1,5,888453.3,997871.4
"18243","""18243""","""05/11/2015 13:00""",1,91113,5,38,892472.1,1021895
"18244","""18244""","""05/11/2015 13:02""",1,250000,4,35,909976.6,1018888
"18245","""18245""","""05/11/2015 13:30""",1,67701,5,38,890112.1,1024814
"18246","""18246""","""05/11/2015 14:00""",1,142320,5,52,889278.3,1032762
"18247","""18247""","""05/11/2015 14:15""",1,51122,3,16,897981.9,1002543
"18248","""18248""","""05/11/2015 14:21""",1,229999,4,35,908152,1018409
"18249","""18249""","""05/11/2015 14:28""",1,250000,4,35,910117.3,1019851
"18250","""18250""","""05/11/2015 14:44""",1,241100,4,35,906933.4,1018879
"18251","""18251""","""05/11/2015 15:05""",1,91113,3,18,898941.8,1002369
"18252","""18252""","""05/11/2015 15:10""",1,41011,5,48,879643.3,1030943
"18253","""18253""","""05/11/2015 15:10""",1,41011,5,48,879643.3,1030943
"18254","""18254""","""05/11/2015 15:15""",1,178200,4,35,0,0
"18255","""18255""","""05/11/2015 15:40""",1,142320,6,73,891785.9,1048029
"18256","""18256""","""05/11/2015 15:55""",1,91113,4,35,908989.9,1017353
"18257","""18257""","""05/11/2015 15:55""",1,91113,4,35,908989.9,1017353
"18258","""18258""","""05/11/2015 15:55""",1,44012,4,35,908989.9,1017353
