,Precinct,MalePop,FemalePop,Male1524,Male65Plus,LaborForce,UnemploymentRate,HispanicUnemployed,WhiteUnemployed,HisWhiteUnemployed,HisBlackUnemployed,HisAsianUnemployed,AboveBacholarUnemployed,PovertyUnemployed,Income
1,1,28165.5,28873.5,2907.5,1823.5,45258.5075,2398.2925,2642.2085,2150.1665,2147.137,3626.676,2426.0845,1866.28,18037.9615,1326169.5
2,5,23267.5,23627.5,3048.5,3267.5,27117.663,3944.032,3533.215,2636.613,3450.122,4240.555,3899.982,2648.364,10508.648,472840.5
3,6,29181.5,31439,3058,3661.5,45071.161,3221.183,5179.89,3054.263,3135.6715,4938.195,3183.156,2559.2615,17697.626,1258941
4,7,29686,33824,4011.5,4357,35046.477,7587.737,9733.217,4437.649,8690.58,7676.409,7284.801,6477.147,19646.8,365933.5
5,9,37671.5,40377,7080,3314.5,51398.759,5519.381,7409.111,3179.956,5949.6815,7247.051,5067.291,2771.1775,17768.008,821943
6,10,24797,22868.66667,2216.666667,2274,36423.10567,3423.304667,5866.846,2827.7405,3127.086167,6233.6125,2163.5345,2034.301833,18859.5865,855569.1667
7,13,45772,53261,6470.833333,4793.5,72859.09383,6022.1295,5370.626833,5813.619833,6053.294833,12729.53583,4130.8725,4464.996333,32631.64167,1425554.833
8,14,12152.33333,12333.5,1410,1333,18100.2505,1694.172167,2909.1675,1513.7245,1846.489833,2480.825333,1017.3865,1109.516333,7296.041833,891230.5
9,17,32942.83333,39079.83333,3056.833333,5273.5,53531.35533,3541.83,4364.874,3628.1005,3650.344167,5445.903333,3972.1335,2557.796,29801.69383,1307619.833
10,18,30628.83333,30139.5,2973.666667,3585.5,44577.44217,3895.100667,4598.199667,3730.837667,4064.655,8944.451,2279.173,2889.762,17188.88017,1662738.667
11,19,89984.5,114637,6772,14845.5,148037.0275,9452.3,11607.3005,9280.319,9203.844,21503.3925,5567.882,7690.5745,59598.4505,3677089
12,20,44357,51954.5,2965,6924.5,70373.2235,5384.77,2548.599,5304.537,5341.204,13982.175,3268.395,4040.0235,23863.579,1323139
13,22,20,5,2,1,8.325,25,25,0,0,25,0,0,25,3725
14,23,34233,40402.5,6230.5,3224.5,42556.906,9514.6915,11800.966,2492.5025,8403.5035,11736.415,5113.819,5318.193,24863.5755,418426
15,24,48776,57684,4913,7075,71069.524,8454.311,13981.056,5570.616,6566.851,17475.316,4935.154,4989.858,44496.586,779656
16,25,22051,23824.5,3867.5,2005.5,23143.617,6299.0045,4966.511,4495.3605,5562.5185,8057.345,3269.123,6041.432,12865.2835,200890
17,26,22583.5,27208,5876,1968.5,24773.384,2974.1925,2733.339,1652.318,2301.782,4236.3755,1750.851,2217.494,7900.3435,307222.5
18,28,23654.5,26771.5,3476.5,1686.5,30361.368,4408.8655,3719.8465,3573.4435,3814.009,4929.2505,261.184,2504.5965,17412.9685,395528.5
19,30,29295.5,31106,5352,2423.5,38762.545,7082.4355,7460.792,2951.713,4209.312,8330.7835,5163.145,3529.04,17412.1815,197392.5
20,32,29539.5,35757.5,4914.5,2708.5,40707.272,12276.4605,12311.7175,7310.7315,11315.391,12492.6365,2616.054,5317.8435,25088.0095,342127.5
21,33,34596,37347.5,6037.5,3274.5,45422.452,10168.125,11947.534,6403.41,9781.5925,12414.307,2934.807,5500.1385,22298.2075,248712
22,34,56123,61953.5,9756.5,5185.5,79755.227,17326.159,20071.591,8189.314,13227.5105,19595.498,11268.98,12550.7175,38196.6645,476847
23,40,41966,47560.5,8561,3008.5,48301.821,13562.263,11631.3405,18412.8425,14353.345,18043.4735,211.792,5824.9045,27484.949,250746
24,41,26800.5,29040,5203.833333,1686.666667,29568.725,8905.468,8485.3545,13397.354,10446.5875,9218.8885,4688.5625,2696.522,20033.8435,171517.6667
25,42,35854,42625.83333,6962.833333,2263,43190.13733,14377.61617,13414.47583,11135.31117,13749.647,15494.3235,5709.0525,6945.257167,31308.6615,237647.8333
