"","Precinct","Whitepop","Blackpop","Nativepop","Asianpop","Nativepacpop","Otherpop","Mixedpop","Totalpop","Malepop","Femalepop","Male1524","Male65Plus","Unplyrate","HisUnplyrate","WUnplyrate","HisWUnplyrate","HisBUnplyrate","HisAUnplyrate","BlwHSchlUnplyrate","AbBchlrUnplyrate","PvtyUnplyrate","X","Population","White","Asian","Black","Hispanic","Mixed","NatvieOther","HisWhite","HisAsian","HisBlack","HisMixed","HisNatvieOther"
"30",47,26326,115989,1376,3447,94,18182,5904,171319,76922,94395,12939,7968,26198,28892,27674,24462,25592,13969,30353,12752,82403,30,152374,10871,2872,99102,34919,2498,2112,10868,110,6436,2618,14887
"31",48,23466,30967,1418,1038,89,25745,4659,87379,40782,46597,8625,2531,16642,16302,12950,15150,18860,6025,14797,9837,32134,31,83266,6219,930,21548,53447,675,447,17443,97,6647,3763,25497
"32",49,49005,26579,951,9246,80,20136,4874,110869,52267,58597,7689,6011,14723,16027,16995,14117,11496,9795,16378,6669,44797,32,114712,31212,8697,23367,48721,1594,1121,19093,141,5203,3487,20797
"33",50,53462,16482,750,5137,42,20585,4810,101269,45739,55531,6759,6469,11766,12059,8112,7869,12563,8432,11542,6844,38436,33,101720,39181,5022,11432,44156,1365,564,15178,162,4298,3500,21018
"34",52,40222,35124,2311,9652,122,47266,9337,144034,68313,75722,12270,4477,22744,21623,37157,23766,25190,16592,23031,16410,47960,34,139307,10034,9156,26171,90981,1672,1293,27361,302,8863,7396,47059
"35",60,63456,14934,550,14208,30,7673,2455,103305,47488,55819,6779,8508,13232,13327,10311,10600,15892,9358,13707,7446,30032,35,104278,59405,12294,13401,17423,1302,453,6871,78,1597,1173,7704
"36",61,124264,6157,321,25048,19,5450,2936,164196,78374,85824,10765,11253,15597,18945,14711,14778,12682,12792,18583,12605,52772,36,159645,114720,24107,5298,13029,2063,428,6353,116,642,757,5161
"37",62,102444,1895,533,61652,143,11839,3567,182076,89023,93056,12467,10874,17826,14059,19185,18738,14628,16669,17597,14169,41253,37,181981,90741,62901,1362,24239,2161,577,10161,252,532,1400,11894
"38",63,47784,46844,317,4890,24,2968,2340,105166,48317,56846,7268,5448,10408,10400,7259,8787,8502,5159,10773,6169,36377,38,108646,45309,5045,46606,9247,1747,692,3805,46,1937,705,2754
"39",66,129701,5262,696,34853,59,11604,4115,186289,93315,92973,15256,7658,13693,14394,13382,13456,15942,14295,14269,8299,25234,39,191382,125152,33856,4338,24854,2335,847,9796,155,974,1854,12075
"40",67,3901,133075,496,1773,56,3460,3260,146020,64404,81615,10344,6995,17092,11771,15097,18782,17094,5120,18684,10142,48577,40,155252,2204,1734,137243,10536,2478,1057,1698,43,4873,922,3000
"41",68,86251,2710,416,26727,56,8476,3511,128147,62832,65318,7887,7185,11098,9338,11335,11455,9550,10030,12706,8449,31706,41,124491,76537,25743,1757,17868,2137,449,8734,141,531,1214,7248
