"","DBN","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"944","31R051",1197,NA,641,NA,159,NA,544,NA,443,NA,51,NA,494,NA,41.3,NA,0,NA
"945","31R052",255,101,670,670,22,6,33,16,174,63,26,16,200,79,78.4,78.2,0,0
"946","31R053",329,108,685,684,6,0,44,22,224,56,55,30,279,86,84.8,79.6,0,0
"947","31R054",358,117,680,673,2,0,50,16,265,86,41,15,306,101,85.5,86.3,0,0
"948","31R055",315,105,674,674,8,1,54,15,226,76,27,13,253,89,80.3,84.8,0,0
"949","31R056",352,122,679,672,10,3,39,20,268,84,35,15,303,99,86.1,81.1,0,0
"950","31R057",261,108,639,642,59,19,81,34,114,52,7,3,121,55,46.4,50.9,0,0
"951","31R058",339,113,672,667,12,3,73,25,220,74,34,11,254,85,74.9,75.2,0,0
"952","31R060",457,139,666,665,36,6,118,40,259,76,44,17,303,93,66.3,66.9,0,0
"953","31R061",1221,NA,644,NA,166,NA,517,NA,466,NA,72,NA,538,NA,44.1,NA,0,NA
"954","31R069",359,130,665,667,18,3,93,31,227,82,21,14,248,96,69.1,73.8,0,0
"955","31R072",1702,NA,654,NA,88,NA,714,NA,760,NA,140,NA,900,NA,52.9,NA,0,NA
"956","31R075",1459,NA,664,NA,50,NA,438,NA,818,NA,153,NA,971,NA,66.6,NA,0,NA
"957","31R080",562,92,671,664,14,5,138,26,353,54,57,7,410,61,73,66.3,0,0
"958","32K045",374,125,646,646,55,9,148,51,165,65,6,0,171,65,45.7,52,0,0
"959","32K075",298,102,643,636,38,13,115,44,144,45,1,0,145,45,48.7,44.1,0,0
"960","32K086",191,66,647,638,27,11,70,28,92,27,2,0,94,27,49.2,40.9,0,0
"961","32K106",254,83,638,621,45,23,109,31,96,29,4,0,100,29,39.4,34.9,0,0
"962","32K116",212,93,646,645,23,5,95,47,91,40,3,1,94,41,44.3,44.1,0,0
"963","32K123",384,122,652,650,30,6,155,47,191,66,8,3,199,69,51.8,56.6,0,0
"964","32K145",491,157,640,638,86,19,214,77,187,59,4,2,191,61,38.9,38.9,0,0
"965","32K151",217,73,655,648,17,9,76,26,118,36,6,2,124,38,57.1,52.1,0,0
"966","32K162",675,NA,622,NA,162,NA,369,NA,140,NA,4,NA,144,NA,21.3,NA,0,NA
"967","32K274",372,118,649,647,41,7,144,46,181,63,6,2,187,65,50.3,55.1,0,0
"968","32K291",894,NA,618,NA,228,NA,527,NA,138,NA,1,NA,139,NA,15.5,NA,0,NA
"969","32K296",849,NA,627,NA,160,NA,466,NA,216,NA,7,NA,223,NA,26.3,NA,0,NA
"970","32K299",269,90,637,626,52,21,122,50,89,16,6,3,95,19,35.3,21.1,0,0
"971","32K347",499,NA,625,NA,98,NA,271,NA,125,NA,5,NA,130,NA,26.1,NA,0,NA
"972","32K349",473,NA,621,NA,107,NA,268,NA,96,NA,2,NA,98,NA,20.7,NA,0,NA
"973","32K376",206,71,650,653,34,6,61,23,103,38,8,4,111,42,53.9,59.2,0,0
"974","32K377",312,101,640,637,62,10,130,54,116,37,4,0,120,37,38.5,36.6,0,0
"975","32K383",1090,103,675,685,27,0,146,7,794,76,123,20,917,96,84.1,93.2,0,0
"976","32K384",230,79,647,643,24,6,103,43,98,26,5,4,103,30,44.8,38,0,0
"977","32K554",135,NA,651,NA,6,NA,58,NA,69,NA,2,NA,71,NA,52.6,NA,0,NA
"978","75K004",43,NA,588,NA,30,NA,8,NA,5,NA,0,NA,5,NA,11.6,NA,0,NA
"979","75K036",165,20,596,597,93,11,58,6,14,3,0,0,14,3,8.5,15,0,0
"980","75K053",86,11,592,608,55,5,27,4,4,2,0,0,4,2,4.7,18.2,0,0
"981","75K077",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"982","75K140",193,25,574,577,146,18,47,7,0,0,0,0,0,0,0,0,0,0
"983","75K141",130,NA,584,NA,76,NA,51,NA,3,NA,0,NA,3,NA,2.3,NA,0,NA
"984","75K231",140,65,587,600,94,39,32,18,14,8,0,0,14,8,10,12.3,0,0
"985","75K368",217,34,576,598,162,17,49,16,6,1,0,0,6,1,2.8,2.9,0,0
"986","75K369",257,38,581,584,174,22,76,12,7,4,0,0,7,4,2.7,10.5,0,0
"987","75K370",36,8,589,592,29,8,6,0,1,0,0,0,1,0,2.8,0,0,0
"988","75K372",249,92,674,677,23,5,49,25,137,35,40,27,177,62,71.1,67.4,0,0
"989","75K396",34,9,597,611,22,4,10,4,1,0,1,1,2,1,5.9,11.1,0,0
"990","75K771",113,22,585,588,79,13,30,8,4,1,0,0,4,1,3.5,4.5,0,0
"991","75K811",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"992","75M035",8,NA,551,NA,6,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"993","75M079",6,NA,NA,NA,1,NA,3,NA,2,NA,0,NA,2,NA,33.3,NA,0,NA
"994","75M094",130,26,593,590,81,16,45,7,4,3,0,0,4,3,3.1,11.5,0,0
"995","75M138",55,2,604,NA,33,NA,14,NA,8,NA,0,NA,8,NA,14.5,NA,0,NA
"996","75M169",181,21,590,592,99,13,76,7,6,1,0,0,6,1,3.3,4.8,0,0
"997","75M226",6,3,NA,NA,3,NA,1,NA,2,NA,0,NA,2,NA,33.3,NA,0,NA
"998","75M811",154,29,584,606,103,13,43,12,8,4,0,0,8,4,5.2,13.8,0,0
"999","75Q004",131,34,604,609,64,16,51,12,16,6,0,0,16,6,12.2,17.6,0,0
"1000","75Q009",218,37,599,603,99,16,98,16,21,5,0,0,21,5,9.6,13.5,0,0
"1001","75Q023",151,15,588,595,86,7,44,5,21,3,0,0,21,3,13.9,20,0,0
"1002","75Q075",129,22,589,594,90,13,36,9,3,0,0,0,3,0,2.3,0,0,0
"1003","75Q177",18,1,564,NA,15,NA,3,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"1004","75Q224",112,31,601,593,60,15,41,13,11,3,0,0,11,3,9.8,9.7,0,0
"1005","75Q233",9,2,NA,NA,1,NA,5,NA,3,NA,0,NA,3,NA,33.3,NA,0,NA
"1006","75Q255",11,3,NA,NA,1,NA,7,NA,3,NA,0,NA,3,NA,27.3,NA,0,NA
"1007","75Q256",167,23,584,585,114,13,40,7,13,3,0,0,13,3,7.8,13,0,0
"1008","75Q752",52,NA,590,NA,32,NA,19,NA,1,NA,0,NA,1,NA,1.9,NA,0,NA
"1009","75Q811",18,2,NA,NA,6,NA,7,NA,5,NA,0,NA,5,NA,27.8,NA,0,NA
"1010","75Q993",27,5,569,NA,17,NA,7,NA,3,NA,0,NA,3,NA,11.1,NA,0,NA
"1011","75R025",165,20,604,629,73,5,60,6,31,8,1,1,32,9,19.4,45,0,0
"1012","75R037",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1013","75R373",105,26,589,590,72,17,26,6,7,3,0,0,7,3,6.7,11.5,0,0
"1014","75R721",9,NA,591,NA,4,NA,4,NA,1,NA,0,NA,1,NA,11.1,NA,0,NA
"1015","75X010",125,34,587,588,77,23,42,10,6,1,0,0,6,1,4.8,2.9,0,0
"1016","75X012",129,37,582,585,91,23,33,13,5,1,0,0,5,1,3.9,2.7,0,0
"1017","75X017",143,23,565,570,117,17,24,6,2,0,0,0,2,0,1.4,0,0,0
"1018","75X168",44,1,595,NA,23,NA,19,NA,2,NA,0,NA,2,NA,4.5,NA,0,NA
"1019","75X176",12,NA,NA,NA,1,NA,6,NA,5,NA,0,NA,5,NA,41.7,NA,0,NA
"1020","75X186",149,24,569,575,118,17,26,5,5,2,0,0,5,2,3.4,8.3,0,0
"1021","75X188",173,23,590,585,100,16,61,6,12,1,0,0,12,1,6.9,4.3,0,0
"1022","75X721",18,5,NA,NA,16,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"1023","75X723",114,23,572,547,94,21,16,2,4,0,0,0,4,0,3.5,0,0,0
