"","DBN","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"781","27Q063",581,216,665,658,43,22,129,47,365,127,44,20,409,147,70.4,68.1,0,0
"782","27Q064",318,115,675,672,8,3,53,21,224,72,33,19,257,91,80.8,79.1,0,0
"783","27Q065",229,79,668,663,7,1,56,19,144,52,22,7,166,59,72.5,74.7,0,0
"784","27Q066",215,78,675,665,4,2,38,17,152,51,21,8,173,59,80.5,75.6,0,0
"785","27Q090",404,154,671,665,15,4,78,39,278,97,33,14,311,111,77,72.1,0,0
"786","27Q096",116,35,665,666,4,2,29,6,71,22,12,5,83,27,71.6,77.1,0,0
"787","27Q097",269,103,671,656,10,6,63,29,172,64,24,4,196,68,72.9,66,0,0
"788","27Q100",523,190,667,659,21,8,124,53,347,121,31,8,378,129,72.3,67.9,0,0
"789","27Q104",352,85,647,644,40,13,143,34,158,32,11,6,169,38,48,44.7,0,0
"790","27Q105",417,78,647,649,32,8,187,31,191,35,7,4,198,39,47.5,50,0,0
"791","27Q106",229,90,668,648,15,12,58,27,130,45,26,6,156,51,68.1,56.7,0,0
"792","27Q108",583,210,672,676,17,0,109,35,405,141,52,34,457,175,78.4,83.3,0,0
"793","27Q114",385,98,672,693,13,0,41,8,256,63,75,27,331,90,86,91.8,0,0
"794","27Q123",304,109,652,645,35,7,102,51,159,49,8,2,167,51,54.9,46.8,0,0
"795","27Q124",542,117,675,673,4,2,103,25,369,72,66,18,435,90,80.3,76.9,0,0
"796","27Q137",1827,NA,651,NA,119,NA,745,NA,872,NA,91,NA,963,NA,52.7,NA,0,NA
"797","27Q146",206,83,659,658,23,7,52,23,113,42,18,11,131,53,63.6,63.9,0,0
"798","27Q155",309,95,655,649,24,6,93,37,184,49,8,3,192,52,62.1,54.7,0,0
"799","27Q183",333,69,642,652,52,10,150,19,115,32,16,8,131,40,39.3,58,0,0
"800","27Q197",339,102,641,633,60,22,140,41,133,37,6,2,139,39,41,38.2,0,0
"801","27Q202",1138,NA,649,NA,109,NA,434,NA,529,NA,66,NA,595,NA,52.3,NA,0,NA
"802","27Q207",528,91,668,668,49,10,108,13,303,50,68,18,371,68,70.3,74.7,0,0
"803","27Q210",2047,NA,650,NA,173,NA,823,NA,923,NA,128,NA,1051,NA,51.3,NA,0,NA
"804","27Q215",287,94,648,649,29,3,126,46,127,42,5,3,132,45,46,47.9,0,0
"805","27Q223",341,103,649,646,55,16,117,39,155,42,14,6,169,48,49.6,46.6,0,0
"806","27Q225",403,83,638,637,66,15,174,28,157,37,6,3,163,40,40.4,48.2,0,0
"807","27Q226",1803,NA,640,NA,205,NA,889,NA,663,NA,46,NA,709,NA,39.3,NA,0,NA
"808","27Q232",331,131,672,664,22,11,70,26,196,76,43,18,239,94,72.2,71.8,0,0
