"","DBN","School","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"1108","31R074","P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL",110,20,283,285,61,12,29,7,14,0,6,1,20,1,18.2,5,NA,NA
"1109","31R075","I.S. 075 FRANK D. PAULO",1322,NA,318,NA,153,NA,462,NA,420,NA,287,NA,707,NA,53.5,NA,-13.1,NA
"1110","31R078","PS 78",219,NA,275,NA,128,NA,70,NA,21,NA,0,NA,21,NA,9.6,NA,NA,NA
"1111","31R080","THE MICHAEL J. PETRIDES SCHOOL",567,98,310,308,99,25,225,35,174,19,69,19,243,38,42.9,38.8,-30.1,-27.5
"1112","31R861","STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP",523,70,309,296,111,27,191,30,171,11,50,2,221,13,42.3,18.6,NA,NA
"1113","32K045","P.S./I.S. 045 HORACE E. GREENE",437,78,294,291,161,39,181,20,74,15,21,4,95,19,21.7,24.4,-24,-27.6
"1114","32K075","P.S. 075 MAYDA CORTIELLA",219,67,282,290,118,30,82,29,18,7,1,1,19,8,8.7,11.9,-40,-32.2
"1115","32K086","P.S. 086 THE IRVINGTON",199,68,286,289,98,29,79,29,12,5,10,5,22,10,11.1,14.7,-38.1,-26.2
"1116","32K106","P.S. 106 EDWARD EVERETT HALE",224,80,280,274,125,58,85,19,12,3,2,0,14,3,6.3,3.8,-33.1,-31.1
"1117","32K116","P.S. 116 ELIZABETH L FARRELL",225,74,291,286,103,38,72,20,40,13,10,3,50,16,22.2,21.6,-22.1,-22.5
"1118","32K123","P.S. 123 SUYDAM",375,124,287,289,173,58,160,53,39,11,3,2,42,13,11.2,10.5,-40.6,-46.1
"1119","32K145","P.S. 145 ANDREW JACKSON",326,110,285,288,155,44,120,46,45,18,6,2,51,20,15.6,18.2,-23.3,-20.7
"1120","32K151","P.S. 151 LYNDON B. JOHNSON",156,50,271,275,104,33,40,14,10,2,2,1,12,3,7.7,6,-49.4,-46.1
"1121","32K162","J.H.S. 162 THE WILLOUGHBY",444,NA,283,NA,213,NA,186,NA,42,NA,3,NA,45,NA,10.1,NA,-11.2,NA
"1122","32K274","P.S. 274 KOSCIUSKO",229,66,282,285,109,30,93,27,24,7,3,2,27,9,11.8,13.6,-38.5,-41.5
"1123","32K291","J.H.S. 291 ROLAND HAYES",366,NA,279,NA,202,NA,131,NA,26,NA,7,NA,33,NA,9,NA,-6.5,NA
"1124","32K299","P.S. 299 THOMAS WARREN FIELD",124,48,288,275,59,33,45,14,15,1,5,0,20,1,16.1,2.1,-19.2,-19
"1125","32K347","I.S. 347 SCHOOL OF HUMANITIES",301,NA,284,NA,133,NA,132,NA,32,NA,4,NA,36,NA,12,NA,-14.1,NA
"1126","32K349","I.S. 349 MATH  SCIENCE & TECH.",333,NA,285,NA,158,NA,137,NA,35,NA,3,NA,38,NA,11.4,NA,-9.3,NA
"1127","32K376","P.S. 376",297,90,301,299,91,29,114,32,72,20,20,9,92,29,31,32.2,-22.9,-27
"1128","32K377","P.S. 377 ALEJANDRINA B. DE GAUTIER",286,49,277,271,155,34,102,11,26,3,3,1,29,4,10.1,8.2,-28.4,-28.4
"1129","32K383","J.H.S. 383 PHILIPPA SCHUYLER",872,48,312,320,114,5,336,13,304,22,118,8,422,30,48.4,62.5,-35.7,-30.7
"1130","32K384","P.S. /I.S. 384 FRANCES E. CARTER",376,52,291,295,137,16,166,25,59,8,14,3,73,11,19.4,21.2,-25.4,-16.8
"1131","32K554","ALL CITY LEADERSHIP SECONDARY SCHOOL",179,NA,325,NA,7,NA,50,NA,80,NA,42,NA,122,NA,68.2,NA,15.6,NA
"1132","32K562","EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION",309,NA,277,NA,173,NA,115,NA,19,NA,2,NA,21,NA,6.8,NA,NA,NA
"1133","03M044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134","04M045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135","05M195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1136","05M317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1137","06M321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1138","09X002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139","09X090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140","09X166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141","09X250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","09X517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143","10X079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144","10X399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145","11X270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146","12X102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147","12X198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148","12X245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","13K103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150","13K336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","13K571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","15K027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153","15K462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154","15K463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155","16K393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1156","17K022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157","17K587",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158","19K072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159","19K260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160","22K555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161","23K332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162","23K493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163","27Q225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164","28Q030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
