"","DBN","School.Name","Grade","Year","Category","Number.Tested","Mean.Scale.Score","L1.","L1..1","L2.","L2..1","L3.","L3..1","L4.","L4..1","L3.4.","L3.4..1"
"1","01M015","P.S. 015 ROBERTO CLEMENTE","3",2013,"All Students",27,"289","14","51.9","11","40.7","2","7.4","0","0","2","7.4"
"2","01M015","P.S. 015 ROBERTO CLEMENTE","3",2014,"All Students",18,"285","10","55.6","8","44.4","0","0","0","0","0","0"
"3","01M015","P.S. 015 ROBERTO CLEMENTE","3",2015,"All Students",16,"282","9","56.3","5","31.3","2","12.5","0","0","2","12.5"
"4","01M015","P.S. 015 ROBERTO CLEMENTE","4",2013,"All Students",20,"278","8","40","11","55","1","5","0","0","1","5"
"5","01M015","P.S. 015 ROBERTO CLEMENTE","4",2014,"All Students",24,"284","13","54.2","10","41.7","1","4.2","0","0","1","4.2"
"6","01M015","P.S. 015 ROBERTO CLEMENTE","4",2015,"All Students",16,"288","5","31.3","11","68.8","0","0","0","0","0","0"
"7","01M015","P.S. 015 ROBERTO CLEMENTE","5",2013,"All Students",24,"284","12","50","11","45.8","1","4.2","0","0","1","4.2"
"8","01M015","P.S. 015 ROBERTO CLEMENTE","5",2014,"All Students",21,"268","15","71.4","5","23.8","0","0","1","4.8","1","4.8"
"9","01M015","P.S. 015 ROBERTO CLEMENTE","5",2015,"All Students",24,"281","14","58.3","9","37.5","1","4.2","0","0","1","4.2"
"10","01M015","P.S. 015 ROBERTO CLEMENTE","All Grades",2013,"All Students",71,"284","34","47.9","33","46.5","4","5.6","0","0","4","5.6"
"11","01M015","P.S. 015 ROBERTO CLEMENTE","All Grades",2014,"All Students",63,"279","38","60.3","23","36.5","1","1.6","1","1.6","2","3.2"
"12","01M015","P.S. 015 ROBERTO CLEMENTE","All Grades",2015,"All Students",56,"283","28","50","25","44.6","3","5.4","0","0","3","5.4"
"13","01M019","P.S. 019 ASHER LEVY","3",2013,"All Students",35,"303","11","31.4","18","51.4","4","11.4","2","5.7","6","17.1"
"14","01M019","P.S. 019 ASHER LEVY","3",2014,"All Students",35,"304","10","28.6","10","28.6","14","40","1","2.9","15","42.9"
"15","01M019","P.S. 019 ASHER LEVY","3",2015,"All Students",28,"302","11","39.3","8","28.6","8","28.6","1","3.6","9","32.1"
"16","01M019","P.S. 019 ASHER LEVY","4",2013,"All Students",41,"284","20","48.8","17","41.5","4","9.8","0","0","4","9.8"
"17","01M019","P.S. 019 ASHER LEVY","4",2014,"All Students",34,"309","7","20.6","15","44.1","8","23.5","4","11.8","12","35.3"
"18","01M019","P.S. 019 ASHER LEVY","4",2015,"All Students",32,"305","4","12.5","15","46.9","11","34.4","2","6.3","13","40.6"
"19","01M019","P.S. 019 ASHER LEVY","5",2013,"All Students",36,"303","7","19.4","20","55.6","9","25","0","0","9","25"
"20","01M019","P.S. 019 ASHER LEVY","5",2014,"All Students",34,"291","14","41.2","14","41.2","5","14.7","1","2.9","6","17.6"
"21","01M019","P.S. 019 ASHER LEVY","5",2015,"All Students",29,"316","4","13.8","13","44.8","9","31","3","10.3","12","41.4"
"22","01M019","P.S. 019 ASHER LEVY","All Grades",2013,"All Students",112,"296","38","33.9","55","49.1","17","15.2","2","1.8","19","17"
"23","01M019","P.S. 019 ASHER LEVY","All Grades",2014,"All Students",103,"301","31","30.1","39","37.9","27","26.2","6","5.8","33","32"
"24","01M019","P.S. 019 ASHER LEVY","All Grades",2015,"All Students",89,"308","19","21.3","36","40.4","28","31.5","6","6.7","34","38.2"
"25","01M020","P.S. 020 ANNA SILVER","3",2013,"All Students",77,"295","27","35.1","33","42.9","17","22.1","0","0","17","22.1"
"26","01M020","P.S. 020 ANNA SILVER","3",2014,"All Students",95,"279","59","62.1","26","27.4","9","9.5","1","1.1","10","10.5"
"27","01M020","P.S. 020 ANNA SILVER","3",2015,"All Students",91,"293","34","37.4","31","34.1","22","24.2","4","4.4","26","28.6"
"28","01M020","P.S. 020 ANNA SILVER","4",2013,"All Students",74,"295","26","35.1","31","41.9","15","20.3","2","2.7","17","23"
"29","01M020","P.S. 020 ANNA SILVER","4",2014,"All Students",65,"300","18","27.7","28","43.1","14","21.5","5","7.7","19","29.2"
"30","01M020","P.S. 020 ANNA SILVER","4",2015,"All Students",91,"289","35","38.5","39","42.9","13","14.3","4","4.4","17","18.7"
"31","01M020","P.S. 020 ANNA SILVER","5",2013,"All Students",76,"292","32","42.1","34","44.7","9","11.8","1","1.3","10","13.2"
"32","01M020","P.S. 020 ANNA SILVER","5",2014,"All Students",69,"294","26","37.7","26","37.7","14","20.3","3","4.3","17","24.6"
"33","01M020","P.S. 020 ANNA SILVER","5",2015,"All Students",58,"298","18","31","21","36.2","15","25.9","4","6.9","19","32.8"
"34","01M020","P.S. 020 ANNA SILVER","All Grades",2013,"All Students",227,"294","85","37.4","98","43.2","41","18.1","3","1.3","44","19.4"
"35","01M020","P.S. 020 ANNA SILVER","All Grades",2014,"All Students",229,"290","103","45","80","34.9","37","16.2","9","3.9","46","20.1"
"36","01M020","P.S. 020 ANNA SILVER","All Grades",2015,"All Students",240,"293","87","36.3","91","37.9","50","20.8","12","5","62","25.8"
"37","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","3",2013,"All Students",38,"295","18","47.4","9","23.7","11","28.9","0","0","11","28.9"
"38","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","3",2014,"All Students",32,"270","19","59.4","10","31.3","3","9.4","0","0","3","9.4"
"39","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","3",2015,"All Students",30,"298","11","36.7","8","26.7","11","36.7","0","0","11","36.7"
"40","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","4",2013,"All Students",46,"304","10","21.7","25","54.3","8","17.4","3","6.5","11","23.9"
"41","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","4",2014,"All Students",37,"295","13","35.1","16","43.2","5","13.5","3","8.1","8","21.6"
"42","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","4",2015,"All Students",30,"289","7","23.3","18","60","5","16.7","0","0","5","16.7"
"43","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","5",2013,"All Students",30,"293","10","33.3","17","56.7","3","10","0","0","3","10"
"44","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","5",2014,"All Students",42,"291","19","45.2","16","38.1","5","11.9","2","4.8","7","16.7"
"45","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","5",2015,"All Students",35,"294","14","40","13","37.1","4","11.4","4","11.4","8","22.9"
"46","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","6",2013,"All Students",56,"291","19","33.9","29","51.8","6","10.7","2","3.6","8","14.3"
"47","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","6",2014,"All Students",41,"296","13","31.7","18","43.9","7","17.1","3","7.3","10","24.4"
"48","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","6",2015,"All Students",54,"297","13","24.1","31","57.4","7","13","3","5.6","10","18.5"
"49","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","7",2013,"All Students",46,"289","17","37","27","58.7","2","4.3","0","0","2","4.3"
"50","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","7",2014,"All Students",57,"300","17","29.8","27","47.4","10","17.5","3","5.3","13","22.8"
"51","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","7",2015,"All Students",42,"295","14","33.3","15","35.7","13","31","0","0","13","31"
"52","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","8",2013,"All Students",43,"291","17","39.5","20","46.5","6","14","0","0","6","14"
"53","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","8",2014,"All Students",55,"290","16","29.1","28","50.9","10","18.2","1","1.8","11","20"
"54","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","8",2015,"All Students",56,"300","11","19.6","24","42.9","18","32.1","3","5.4","21","37.5"
"55","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","All Grades",2013,"All Students",259,"294","91","35.1","127","49","36","13.9","5","1.9","41","15.8"
"56","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","All Grades",2014,"All Students",264,"292","97","36.7","115","43.6","40","15.2","12","4.5","52","19.7"
"57","01M034","P.S. 034 FRANKLIN D. ROOSEVELT","All Grades",2015,"All Students",247,"296","70","28.3","109","44.1","58","23.5","10","4","68","27.5"
"58","01M063","THE STAR ACADEMY - P.S.63","3",2013,"All Students",19,"288","8","42.1","8","42.1","3","15.8","0","0","3","15.8"
"59","01M063","THE STAR ACADEMY - P.S.63","3",2014,"All Students",17,"294","6","35.3","6","35.3","5","29.4","0","0","5","29.4"
"60","01M063","THE STAR ACADEMY - P.S.63","3",2015,"All Students",17,"294","9","52.9","1","5.9","6","35.3","1","5.9","7","41.2"
"61","01M063","THE STAR ACADEMY - P.S.63","4",2013,"All Students",21,"291","7","33.3","12","57.1","2","9.5","0","0","2","9.5"
"62","01M063","THE STAR ACADEMY - P.S.63","4",2014,"All Students",17,"292","4","23.5","10","58.8","3","17.6","0","0","3","17.6"
"63","01M063","THE STAR ACADEMY - P.S.63","4",2015,"All Students",13,"289","5","38.5","5","38.5","3","23.1","0","0","3","23.1"
"64","01M063","THE STAR ACADEMY - P.S.63","5",2013,"All Students",22,"288","13","59.1","5","22.7","4","18.2","0","0","4","18.2"
"65","01M063","THE STAR ACADEMY - P.S.63","5",2014,"All Students",17,"284","6","35.3","8","47.1","3","17.6","0","0","3","17.6"
"66","01M063","THE STAR ACADEMY - P.S.63","5",2015,"All Students",20,"295","7","35","9","45","4","20","0","0","4","20"
"67","01M063","THE STAR ACADEMY - P.S.63","All Grades",2013,"All Students",62,"289","28","45.2","25","40.3","9","14.5","0","0","9","14.5"
"68","01M063","THE STAR ACADEMY - P.S.63","All Grades",2014,"All Students",51,"290","16","31.4","24","47.1","11","21.6","0","0","11","21.6"
"69","01M063","THE STAR ACADEMY - P.S.63","All Grades",2015,"All Students",50,"293","21","42","15","30","13","26","1","2","14","28"
"70","01M064","P.S. 064 ROBERT SIMON","3",2013,"All Students",30,"288","17","56.7","10","33.3","3","10","0","0","3","10"
"71","01M064","P.S. 064 ROBERT SIMON","3",2014,"All Students",43,"291","21","48.8","14","32.6","8","18.6","0","0","8","18.6"
"72","01M064","P.S. 064 ROBERT SIMON","3",2015,"All Students",40,"294","14","35","18","45","8","20","0","0","8","20"
"73","01M064","P.S. 064 ROBERT SIMON","4",2013,"All Students",41,"278","24","58.5","15","36.6","2","4.9","0","0","2","4.9"
"74","01M064","P.S. 064 ROBERT SIMON","4",2014,"All Students",32,"284","15","46.9","13","40.6","4","12.5","0","0","4","12.5"
"75","01M064","P.S. 064 ROBERT SIMON","4",2015,"All Students",40,"293","13","32.5","21","52.5","6","15","0","0","6","15"
"76","01M064","P.S. 064 ROBERT SIMON","5",2013,"All Students",39,"296","15","38.5","16","41","7","17.9","1","2.6","8","20.5"
"77","01M064","P.S. 064 ROBERT SIMON","5",2014,"All Students",37,"289","17","45.9","14","37.8","6","16.2","0","0","6","16.2"
"78","01M064","P.S. 064 ROBERT SIMON","5",2015,"All Students",37,"285","19","51.4","16","43.2","2","5.4","0","0","2","5.4"
"79","01M064","P.S. 064 ROBERT SIMON","All Grades",2013,"All Students",110,"287","56","50.9","41","37.3","12","10.9","1","0.9","13","11.8"
"80","01M064","P.S. 064 ROBERT SIMON","All Grades",2014,"All Students",112,"288","53","47.3","41","36.6","18","16.1","0","0","18","16.1"
"81","01M064","P.S. 064 ROBERT SIMON","All Grades",2015,"All Students",117,"291","46","39.3","55","47","16","13.7","0","0","16","13.7"
"82","01M110","P.S. 110 FLORENCE NIGHTINGALE","3",2013,"All Students",54,"313","13","24.1","11","20.4","23","42.6","7","13","30","55.6"
"83","01M110","P.S. 110 FLORENCE NIGHTINGALE","3",2014,"All Students",69,"308","23","33.3","12","17.4","32","46.4","2","2.9","34","49.3"
"84","01M110","P.S. 110 FLORENCE NIGHTINGALE","3",2015,"All Students",49,"304","18","36.7","9","18.4","16","32.7","6","12.2","22","44.9"
"85","01M110","P.S. 110 FLORENCE NIGHTINGALE","4",2013,"All Students",48,"313","9","18.8","12","25","18","37.5","9","18.8","27","56.3"
"86","01M110","P.S. 110 FLORENCE NIGHTINGALE","4",2014,"All Students",53,"307","11","20.8","21","39.6","15","28.3","6","11.3","21","39.6"
"87","01M110","P.S. 110 FLORENCE NIGHTINGALE","4",2015,"All Students",64,"309","14","21.9","23","35.9","13","20.3","14","21.9","27","42.2"
"88","01M110","P.S. 110 FLORENCE NIGHTINGALE","5",2013,"All Students",65,"313","12","18.5","26","40","15","23.1","12","18.5","27","41.5"
"89","01M110","P.S. 110 FLORENCE NIGHTINGALE","5",2014,"All Students",45,"304","14","31.1","13","28.9","8","17.8","10","22.2","18","40"
"90","01M110","P.S. 110 FLORENCE NIGHTINGALE","5",2015,"All Students",54,"312","16","29.6","12","22.2","15","27.8","11","20.4","26","48.1"
"91","01M110","P.S. 110 FLORENCE NIGHTINGALE","All Grades",2013,"All Students",167,"313","34","20.4","49","29.3","56","33.5","28","16.8","84","50.3"
"92","01M110","P.S. 110 FLORENCE NIGHTINGALE","All Grades",2014,"All Students",167,"306","48","28.7","46","27.5","55","32.9","18","10.8","73","43.7"
"93","01M110","P.S. 110 FLORENCE NIGHTINGALE","All Grades",2015,"All Students",167,"308","48","28.7","44","26.3","44","26.3","31","18.6","75","44.9"
"94","01M134","P.S. 134 HENRIETTA SZOLD","3",2013,"All Students",50,"292","20","40","25","50","5","10","0","0","5","10"
"95","01M134","P.S. 134 HENRIETTA SZOLD","3",2014,"All Students",44,"293","18","40.9","17","38.6","9","20.5","0","0","9","20.5"
"96","01M134","P.S. 134 HENRIETTA SZOLD","3",2015,"All Students",43,"281","19","44.2","16","37.2","7","16.3","1","2.3","8","18.6"
"97","01M134","P.S. 134 HENRIETTA SZOLD","4",2013,"All Students",59,"289","25","42.4","26","44.1","7","11.9","1","1.7","8","13.6"
"98","01M134","P.S. 134 HENRIETTA SZOLD","4",2014,"All Students",42,"292","14","33.3","23","54.8","5","11.9","0","0","5","11.9"
"99","01M134","P.S. 134 HENRIETTA SZOLD","4",2015,"All Students",35,"287","13","37.1","16","45.7","6","17.1","0","0","6","17.1"
"100","01M134","P.S. 134 HENRIETTA SZOLD","5",2013,"All Students",38,"290","18","47.4","17","44.7","3","7.9","0","0","3","7.9"
"101","01M134","P.S. 134 HENRIETTA SZOLD","5",2014,"All Students",52,"291","18","34.6","29","55.8","4","7.7","1","1.9","5","9.6"
"102","01M134","P.S. 134 HENRIETTA SZOLD","5",2015,"All Students",39,"297","14","35.9","19","48.7","5","12.8","1","2.6","6","15.4"
"103","01M134","P.S. 134 HENRIETTA SZOLD","All Grades",2013,"All Students",147,"290","63","42.9","68","46.3","15","10.2","1","0.7","16","10.9"
"104","01M134","P.S. 134 HENRIETTA SZOLD","All Grades",2014,"All Students",138,"292","50","36.2","69","50","18","13","1","0.7","19","13.8"
"105","01M134","P.S. 134 HENRIETTA SZOLD","All Grades",2015,"All Students",117,"288","46","39.3","51","43.6","18","15.4","2","1.7","20","17.1"
"106","01M137","P.S. 137 JOHN L. BERNSTEIN","3",2013,"All Students",25,"274","17","68","5","20","3","12","0","0","3","12"
"107","01M137","P.S. 137 JOHN L. BERNSTEIN","3",2014,"All Students",35,"262","26","74.3","9","25.7","0","0","0","0","0","0"
"108","01M137","P.S. 137 JOHN L. BERNSTEIN","3",2015,"All Students",26,"278","12","46.2","10","38.5","4","15.4","0","0","4","15.4"
"109","01M137","P.S. 137 JOHN L. BERNSTEIN","4",2013,"All Students",24,"280","11","45.8","11","45.8","2","8.3","0","0","2","8.3"
"110","01M137","P.S. 137 JOHN L. BERNSTEIN","4",2014,"All Students",21,"286","10","47.6","9","42.9","2","9.5","0","0","2","9.5"
"111","01M137","P.S. 137 JOHN L. BERNSTEIN","4",2015,"All Students",35,"264","23","65.7","9","25.7","3","8.6","0","0","3","8.6"
"112","01M137","P.S. 137 JOHN L. BERNSTEIN","5",2013,"All Students",23,"276","15","65.2","8","34.8","0","0","0","0","0","0"
"113","01M137","P.S. 137 JOHN L. BERNSTEIN","5",2014,"All Students",24,"276","16","66.7","6","25","1","4.2","1","4.2","2","8.3"
"114","01M137","P.S. 137 JOHN L. BERNSTEIN","5",2015,"All Students",23,"286","12","52.2","6","26.1","4","17.4","1","4.3","5","21.7"
"115","01M137","P.S. 137 JOHN L. BERNSTEIN","All Grades",2013,"All Students",72,"276","43","59.7","24","33.3","5","6.9","0","0","5","6.9"
"116","01M137","P.S. 137 JOHN L. BERNSTEIN","All Grades",2014,"All Students",80,"273","52","65","24","30","3","3.8","1","1.3","4","5"
"117","01M137","P.S. 137 JOHN L. BERNSTEIN","All Grades",2015,"All Students",84,"274","47","56","25","29.8","11","13.1","1","1.2","12","14.3"
"118","01M140","P.S. 140 NATHAN STRAUS","3",2013,"All Students",31,"289","17","54.8","12","38.7","2","6.5","0","0","2","6.5"
"119","01M140","P.S. 140 NATHAN STRAUS","3",2014,"All Students",27,"264","19","70.4","8","29.6","0","0","0","0","0","0"
"120","01M140","P.S. 140 NATHAN STRAUS","3",2015,"All Students",27,"282","16","59.3","7","25.9","4","14.8","0","0","4","14.8"
"121","01M140","P.S. 140 NATHAN STRAUS","4",2013,"All Students",24,"286","12","50","10","41.7","1","4.2","1","4.2","2","8.3"
"122","01M140","P.S. 140 NATHAN STRAUS","4",2014,"All Students",31,"292","9","29","20","64.5","2","6.5","0","0","2","6.5"
"123","01M140","P.S. 140 NATHAN STRAUS","4",2015,"All Students",24,"270","15","62.5","8","33.3","1","4.2","0","0","1","4.2"
"124","01M140","P.S. 140 NATHAN STRAUS","5",2013,"All Students",25,"281","16","64","9","36","0","0","0","0","0","0"
"125","01M140","P.S. 140 NATHAN STRAUS","5",2014,"All Students",24,"276","14","58.3","9","37.5","1","4.2","0","0","1","4.2"
"126","01M140","P.S. 140 NATHAN STRAUS","5",2015,"All Students",25,"283","13","52","11","44","0","0","1","4","1","4"
"127","01M140","P.S. 140 NATHAN STRAUS","6",2013,"All Students",58,"284","24","41.4","29","50","5","8.6","0","0","5","8.6"
"128","01M140","P.S. 140 NATHAN STRAUS","6",2014,"All Students",57,"284","24","42.1","28","49.1","2","3.5","3","5.3","5","8.8"
"129","01M140","P.S. 140 NATHAN STRAUS","6",2015,"All Students",48,"280","27","56.3","17","35.4","3","6.3","1","2.1","4","8.3"
"130","01M140","P.S. 140 NATHAN STRAUS","7",2013,"All Students",63,"279","38","60.3","22","34.9","2","3.2","1","1.6","3","4.8"
"131","01M140","P.S. 140 NATHAN STRAUS","7",2014,"All Students",55,"292","18","32.7","24","43.6","13","23.6","0","0","13","23.6"
"132","01M140","P.S. 140 NATHAN STRAUS","7",2015,"All Students",54,"287","24","44.4","21","38.9","9","16.7","0","0","9","16.7"
"133","01M140","P.S. 140 NATHAN STRAUS","8",2013,"All Students",52,"280","29","55.8","16","30.8","6","11.5","1","1.9","7","13.5"
"134","01M140","P.S. 140 NATHAN STRAUS","8",2014,"All Students",61,"286","26","42.6","30","49.2","4","6.6","1","1.6","5","8.2"
"135","01M140","P.S. 140 NATHAN STRAUS","8",2015,"All Students",58,"291","17","29.3","27","46.6","12","20.7","2","3.4","14","24.1"
"136","01M140","P.S. 140 NATHAN STRAUS","All Grades",2013,"All Students",253,"282","136","53.8","98","38.7","16","6.3","3","1.2","19","7.5"
"137","01M140","P.S. 140 NATHAN STRAUS","All Grades",2014,"All Students",255,"284","110","43.1","119","46.7","22","8.6","4","1.6","26","10.2"
"138","01M140","P.S. 140 NATHAN STRAUS","All Grades",2015,"All Students",236,"284","112","47.5","91","38.6","29","12.3","4","1.7","33","14"
"139","01M142","P.S. 142 AMALIA CASTRO","3",2013,"All Students",59,"291","27","45.8","20","33.9","12","20.3","0","0","12","20.3"
"140","01M142","P.S. 142 AMALIA CASTRO","3",2014,"All Students",47,"278","28","59.6","17","36.2","2","4.3","0","0","2","4.3"
"141","01M142","P.S. 142 AMALIA CASTRO","3",2015,"All Students",61,"284","34","55.7","18","29.5","9","14.8","0","0","9","14.8"
"142","01M142","P.S. 142 AMALIA CASTRO","4",2013,"All Students",54,"292","21","38.9","25","46.3","8","14.8","0","0","8","14.8"
"143","01M142","P.S. 142 AMALIA CASTRO","4",2014,"All Students",57,"292","24","42.1","22","38.6","8","14","3","5.3","11","19.3"
"144","01M142","P.S. 142 AMALIA CASTRO","4",2015,"All Students",46,"284","17","37","26","56.5","3","6.5","0","0","3","6.5"
"145","01M142","P.S. 142 AMALIA CASTRO","5",2013,"All Students",54,"288","29","53.7","21","38.9","3","5.6","1","1.9","4","7.4"
"146","01M142","P.S. 142 AMALIA CASTRO","5",2014,"All Students",49,"284","25","51","21","42.9","3","6.1","0","0","3","6.1"
"147","01M142","P.S. 142 AMALIA CASTRO","5",2015,"All Students",56,"284","27","48.2","24","42.9","5","8.9","0","0","5","8.9"
"148","01M142","P.S. 142 AMALIA CASTRO","All Grades",2013,"All Students",167,"290","77","46.1","66","39.5","23","13.8","1","0.6","24","14.4"
"149","01M142","P.S. 142 AMALIA CASTRO","All Grades",2014,"All Students",153,"285","77","50.3","60","39.2","13","8.5","3","2","16","10.5"
"150","01M142","P.S. 142 AMALIA CASTRO","All Grades",2015,"All Students",163,"284","78","47.9","68","41.7","17","10.4","0","0","17","10.4"
"151","01M184","P.S. 184M SHUANG WEN","3",2013,"All Students",81,"316","12","14.8","29","35.8","35","43.2","5","6.2","40","49.4"
"152","01M184","P.S. 184M SHUANG WEN","3",2014,"All Students",72,"321","10","13.9","17","23.6","39","54.2","6","8.3","45","62.5"
"153","01M184","P.S. 184M SHUANG WEN","3",2015,"All Students",68,"313","14","20.6","22","32.4","26","38.2","6","8.8","32","47.1"
"154","01M184","P.S. 184M SHUANG WEN","4",2013,"All Students",70,"324","4","5.7","22","31.4","28","40","16","22.9","44","62.9"
"155","01M184","P.S. 184M SHUANG WEN","4",2014,"All Students",84,"326","8","9.5","21","25","29","34.5","26","31","55","65.5"
"156","01M184","P.S. 184M SHUANG WEN","4",2015,"All Students",65,"325","4","6.2","19","29.2","22","33.8","20","30.8","42","64.6"
"157","01M184","P.S. 184M SHUANG WEN","5",2013,"All Students",56,"331","4","7.1","12","21.4","24","42.9","16","28.6","40","71.4"
"158","01M184","P.S. 184M SHUANG WEN","5",2014,"All Students",62,"319","5","8.1","20","32.3","28","45.2","9","14.5","37","59.7"
"159","01M184","P.S. 184M SHUANG WEN","5",2015,"All Students",74,"333","3","4.1","19","25.7","23","31.1","29","39.2","52","70.3"
"160","01M184","P.S. 184M SHUANG WEN","6",2013,"All Students",57,"334","0","0","12","21.1","19","33.3","26","45.6","45","78.9"
"161","01M184","P.S. 184M SHUANG WEN","6",2014,"All Students",38,"330","1","2.6","10","26.3","8","21.1","19","50","27","71.1"
"162","01M184","P.S. 184M SHUANG WEN","6",2015,"All Students",60,"330","2","3.3","15","25","16","26.7","27","45","43","71.7"
"163","01M184","P.S. 184M SHUANG WEN","7",2013,"All Students",59,"329","1","1.7","15","25.4","32","54.2","11","18.6","43","72.9"
"164","01M184","P.S. 184M SHUANG WEN","7",2014,"All Students",59,"336","1","1.7","5","8.5","35","59.3","18","30.5","53","89.8"
"165","01M184","P.S. 184M SHUANG WEN","7",2015,"All Students",36,"323","4","11.1","6","16.7","19","52.8","7","19.4","26","72.2"
"166","01M184","P.S. 184M SHUANG WEN","8",2013,"All Students",52,"334","1","1.9","11","21.2","20","38.5","20","38.5","40","76.9"
"167","01M184","P.S. 184M SHUANG WEN","8",2014,"All Students",59,"333","2","3.4","11","18.6","28","47.5","18","30.5","46","78"
"168","01M184","P.S. 184M SHUANG WEN","8",2015,"All Students",56,"338","0","0","6","10.7","30","53.6","20","35.7","50","89.3"
"169","01M184","P.S. 184M SHUANG WEN","All Grades",2013,"All Students",375,"327","22","5.9","101","26.9","158","42.1","94","25.1","252","67.2"
"170","01M184","P.S. 184M SHUANG WEN","All Grades",2014,"All Students",374,"327","27","7.2","84","22.5","167","44.7","96","25.7","263","70.3"
"171","01M184","P.S. 184M SHUANG WEN","All Grades",2015,"All Students",359,"327","27","7.5","87","24.2","136","37.9","109","30.4","245","68.2"
"172","01M188","P.S. 188 THE ISLAND SCHOOL","3",2013,"All Students",45,"280","27","60","17","37.8","1","2.2","0","0","1","2.2"
"173","01M188","P.S. 188 THE ISLAND SCHOOL","3",2014,"All Students",48,"284","26","54.2","15","31.3","6","12.5","1","2.1","7","14.6"
"174","01M188","P.S. 188 THE ISLAND SCHOOL","3",2015,"All Students",39,"278","22","56.4","12","30.8","5","12.8","0","0","5","12.8"
"175","01M188","P.S. 188 THE ISLAND SCHOOL","4",2013,"All Students",39,"286","14","35.9","23","59","2","5.1","0","0","2","5.1"
"176","01M188","P.S. 188 THE ISLAND SCHOOL","4",2014,"All Students",46,"282","22","47.8","22","47.8","2","4.3","0","0","2","4.3"
"177","01M188","P.S. 188 THE ISLAND SCHOOL","4",2015,"All Students",48,"279","32","66.7","12","25","3","6.3","1","2.1","4","8.3"
"178","01M188","P.S. 188 THE ISLAND SCHOOL","5",2013,"All Students",33,"275","24","72.7","8","24.2","1","3","0","0","1","3"
"179","01M188","P.S. 188 THE ISLAND SCHOOL","5",2014,"All Students",44,"273","28","63.6","12","27.3","4","9.1","0","0","4","9.1"
"180","01M188","P.S. 188 THE ISLAND SCHOOL","5",2015,"All Students",48,"278","26","54.2","17","35.4","5","10.4","0","0","5","10.4"
"181","01M188","P.S. 188 THE ISLAND SCHOOL","6",2013,"All Students",60,"273","30","50","26","43.3","2","3.3","2","3.3","4","6.7"
"182","01M188","P.S. 188 THE ISLAND SCHOOL","6",2014,"All Students",43,"280","23","53.5","20","46.5","0","0","0","0","0","0"
"183","01M188","P.S. 188 THE ISLAND SCHOOL","6",2015,"All Students",50,"279","29","58","17","34","2","4","2","4","4","8"
"184","01M188","P.S. 188 THE ISLAND SCHOOL","7",2013,"All Students",63,"281","37","58.7","23","36.5","2","3.2","1","1.6","3","4.8"
"185","01M188","P.S. 188 THE ISLAND SCHOOL","7",2014,"All Students",65,"275","38","58.5","21","32.3","6","9.2","0","0","6","9.2"
"186","01M188","P.S. 188 THE ISLAND SCHOOL","7",2015,"All Students",54,"282","31","57.4","20","37","3","5.6","0","0","3","5.6"
"187","01M188","P.S. 188 THE ISLAND SCHOOL","8",2013,"All Students",59,"280","27","45.8","24","40.7","7","11.9","1","1.7","8","13.6"
"188","01M188","P.S. 188 THE ISLAND SCHOOL","8",2014,"All Students",56,"296","12","21.4","35","62.5","7","12.5","2","3.6","9","16.1"
"189","01M188","P.S. 188 THE ISLAND SCHOOL","8",2015,"All Students",61,"284","28","45.9","24","39.3","9","14.8","0","0","9","14.8"
"190","01M188","P.S. 188 THE ISLAND SCHOOL","All Grades",2013,"All Students",299,"279","159","53.2","121","40.5","15","5","4","1.3","19","6.4"
"191","01M188","P.S. 188 THE ISLAND SCHOOL","All Grades",2014,"All Students",302,"282","149","49.3","125","41.4","25","8.3","3","1","28","9.3"
"192","01M188","P.S. 188 THE ISLAND SCHOOL","All Grades",2015,"All Students",300,"280","168","56","102","34","27","9","3","1","30","10"
"193","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","6",2013,"All Students",18,"265","12","66.7","5","27.8","1","5.6","0","0","1","5.6"
"194","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","6",2014,"All Students",13,"269","9","69.2","4","30.8","0","0","0","0","0","0"
"195","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","6",2015,"All Students",12,"267","8","66.7","4","33.3","0","0","0","0","0","0"
