"","DBN","School.Name","Grade","Year","Category","Number.Tested","Mean.Scale.Score","L1.","L1..1","L2.","L2..1","L3.","L3..1","L4.","L4..1","L3.4.","L3.4..1"
"10541","24Q330","P.S. 330","All Grades",2015,"All Students",179,"288","84","46.9","61","34.1","30","16.8","4","2.2","34","19"
"10542","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","7",2013,"All Students",53,"328","1","1.9","13","24.5","30","56.6","9","17","39","73.6"
"10543","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","7",2014,"All Students",54,"322","2","3.7","18","33.3","28","51.9","6","11.1","34","63"
"10544","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","7",2015,"All Students",37,"320","0","0","13","35.1","22","59.5","2","5.4","24","64.9"
"10545","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","8",2013,"All Students",54,"320","0","0","21","38.9","27","50","6","11.1","33","61.1"
"10546","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","8",2014,"All Students",54,"324","0","0","18","33.3","26","48.1","10","18.5","36","66.7"
"10547","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","8",2015,"All Students",53,"328","0","0","9","17","32","60.4","12","22.6","44","83"
"10548","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","All Grades",2013,"All Students",107,"323","1","0.9","34","31.8","57","53.3","15","14","72","67.3"
"10549","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","All Grades",2014,"All Students",108,"323","2","1.9","36","33.3","54","50","16","14.8","70","64.8"
"10550","24Q560","ROBERT F. WAGNER  JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY","All Grades",2015,"All Students",90,"325","0","0","22","24.4","54","60","14","15.6","68","75.6"
"10551","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","4",2013,"All Students",236,"308","52","22","92","39","58","24.6","34","14.4","92","39"
"10552","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","4",2014,"All Students",271,"306","60","22.1","113","41.7","69","25.5","29","10.7","98","36.2"
"10553","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","4",2015,"All Students",249,"313","44","17.7","86","34.5","74","29.7","45","18.1","119","47.8"
"10554","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","5",2013,"All Students",227,"309","52","22.9","85","37.4","65","28.6","25","11","90","39.6"
"10555","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","5",2014,"All Students",236,"304","64","27.1","91","38.6","54","22.9","27","11.4","81","34.3"
"10556","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","5",2015,"All Students",276,"309","56","20.3","117","42.4","69","25","34","12.3","103","37.3"
"10557","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","All Grades",2013,"All Students",463,"308","104","22.5","177","38.2","123","26.6","59","12.7","182","39.3"
"10558","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","All Grades",2014,"All Students",507,"305","124","24.5","204","40.2","123","24.3","56","11","179","35.3"
"10559","24Q877","THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE)","All Grades",2015,"All Students",525,"311","100","19","203","38.7","143","27.2","79","15","222","42.3"
"10560","25Q020","P.S. 020 JOHN BOWNE","3",2013,"All Students",222,"299","83","37.4","82","36.9","55","24.8","2","0.9","57","25.7"
"10561","25Q020","P.S. 020 JOHN BOWNE","3",2014,"All Students",209,"300","70","33.5","73","34.9","60","28.7","6","2.9","66","31.6"
"10562","25Q020","P.S. 020 JOHN BOWNE","3",2015,"All Students",220,"296","80","36.4","80","36.4","54","24.5","6","2.7","60","27.3"
"10563","25Q020","P.S. 020 JOHN BOWNE","4",2013,"All Students",206,"304","54","26.2","89","43.2","44","21.4","19","9.2","63","30.6"
"10564","25Q020","P.S. 020 JOHN BOWNE","4",2014,"All Students",228,"302","52","22.8","103","45.2","55","24.1","18","7.9","73","32"
"10565","25Q020","P.S. 020 JOHN BOWNE","4",2015,"All Students",223,"308","47","21.1","87","39","59","26.5","30","13.5","89","39.9"
"10566","25Q020","P.S. 020 JOHN BOWNE","5",2013,"All Students",209,"307","46","22","95","45.5","44","21.1","24","11.5","68","32.5"
"10567","25Q020","P.S. 020 JOHN BOWNE","5",2014,"All Students",196,"302","55","28.1","82","41.8","46","23.5","13","6.6","59","30.1"
"10568","25Q020","P.S. 020 JOHN BOWNE","5",2015,"All Students",224,"307","50","22.3","87","38.8","66","29.5","21","9.4","87","38.8"
"10569","25Q020","P.S. 020 JOHN BOWNE","All Grades",2013,"All Students",637,"303","183","28.7","266","41.8","143","22.4","45","7.1","188","29.5"
"10570","25Q020","P.S. 020 JOHN BOWNE","All Grades",2014,"All Students",633,"301","177","28","258","40.8","161","25.4","37","5.8","198","31.3"
"10571","25Q020","P.S. 020 JOHN BOWNE","All Grades",2015,"All Students",667,"304","177","26.5","254","38.1","179","26.8","57","8.5","236","35.4"
