"","DBN","School","NumTest","NumTest5th","MeanScore","MeanScore5th","L1Num","L1Num5th","L2Num","L2Num5th","L3Num","L3Num5th","L4Num","L4Num5th","L34Num","L34Num5th","L34Pct","L34Pct5th","Improv","Improv5th"
"593","17K353","ELIJAH STROUD MIDDLE SCHOOL",229,NA,281,NA,136,NA,79,NA,13,NA,1,NA,14,NA,6.1,NA,-16.7,NA
"594","17K354","THE SCHOOL OF INTEGRATED LEARNING",213,NA,302,NA,72,NA,62,NA,40,NA,39,NA,79,NA,37.1,NA,22.3,NA
"595","17K375","P.S. 375 JACKIE ROBINSON SCHOOL",208,68,291,297,87,28,71,20,37,16,13,4,50,20,24,29.4,-34.7,-13.5
"596","17K382","ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL",139,NA,286,NA,69,NA,46,NA,22,NA,2,NA,24,NA,17.3,NA,NA,NA
"597","17K394","M.S. K394",344,36,284,287,178,20,122,11,34,5,10,0,44,5,12.8,13.9,-28.2,-41.1
"598","17K397","P.S. 397 FOSTER-LAURIE",154,47,280,287,86,26,46,12,17,7,5,2,22,9,14.3,19.1,-34.1,-14.2
"599","17K398","P.S. 398 WALTER WEAVER",150,40,283,285,71,22,57,11,18,5,4,2,22,7,14.7,17.5,-19.4,-5.7
"600","17K399","P.S. 399 STANLEY EUGENE CLARK",253,74,289,296,120,34,78,18,42,17,13,5,55,22,21.7,29.7,-54.3,-46
"601","17K484","RONALD EDMONDS LEARNING CENTER II",108,NA,284,NA,63,NA,36,NA,9,NA,0,NA,9,NA,8.3,NA,NA,NA
"602","17K531","SCHOOL FOR HUMAN RIGHTS  THE",128,NA,287,NA,57,NA,60,NA,8,NA,3,NA,11,NA,8.6,NA,-10.6,NA
"603","17K532","NEW BRIDGES ELEMENTARY",53,NA,286,NA,22,NA,20,NA,10,NA,1,NA,11,NA,20.8,NA,NA,NA
"604","17K533","SCHOOL FOR DEMOCRACY AND LEADERSHIP",41,NA,276,NA,26,NA,13,NA,2,NA,0,NA,2,NA,4.9,NA,-8,NA
