"","DBN","Grade","Year","Category","Number.Tested","Mean.Scale.Score","L1Num","L1Pct","L2Num","L2Pct","L3Num","L3Pct","L4Num","L4Pct","L34Num","L34Pct"
"25410","27Q090","4",2006,"All Students",148,"687","5","3.4","9","6.1","85","57.4","49","33.1","134","90.5"
"25411","27Q090","4",2007,"All Students",131,"691","5","3.8","13","9.9","62","47.3","51","38.9","113","86.3"
"25412","27Q090","4",2008,"All Students",142,"695","3","2.1","6","4.2","74","52.1","59","41.5","133","93.7"
"25413","27Q090","4",2009,"All Students",126,"692","4","3.2","8","6.3","71","56.3","43","34.1","114","90.5"
"25414","27Q090","4",2010,"All Students",144,"692","2","1.4","43","29.9","57","39.6","42","29.2","99","68.8"
"25415","27Q090","4",2011,"All Students",133,"693","3","2.3","32","24.1","56","42.1","42","31.6","98","73.7"
"25416","27Q090","4",2012,"All Students",133,"695","4","3","27","20.3","57","42.9","45","33.8","102","76.7"
"25417","27Q090","5",2006,"All Students",166,"677","5","3","27","16.3","91","54.8","43","25.9","134","80.7"
"25418","27Q090","5",2007,"All Students",137,"684","3","2.2","14","10.2","77","56.2","43","31.4","120","87.6"
"25419","27Q090","5",2008,"All Students",135,"685","2","1.5","18","13.3","68","50.4","47","34.8","115","85.2"
"25420","27Q090","5",2009,"All Students",133,"694","1","0.8","7","5.3","62","46.6","63","47.4","125","94"
"25421","27Q090","5",2010,"All Students",129,"682","3","2.3","50","38.8","54","41.9","22","17.1","76","58.9"
"25422","27Q090","5",2011,"All Students",140,"688","3","2.1","36","25.7","72","51.4","29","20.7","101","72.1"
"25423","27Q090","5",2012,"All Students",130,"695","5","3.8","23","17.7","57","43.8","45","34.6","102","78.5"
"25424","27Q090","All Grades",2006,"All Students",445,"","14","3.1","42","9.4","248","55.7","141","31.7","389","87.4"
"25425","27Q090","All Grades",2007,"All Students",408,"","10","2.5","33","8.1","197","48.3","168","41.2","365","89.5"
"25426","27Q090","All Grades",2008,"All Students",413,"","6","1.5","31","7.5","241","58.4","135","32.7","376","91"
"25427","27Q090","All Grades",2009,"All Students",395,"","5","1.3","19","4.8","239","60.5","132","33.4","371","93.9"
"25428","27Q090","All Grades",2010,"All Students",402,"","14","3.5","148","36.8","155","38.6","85","21.1","240","59.7"
"25429","27Q090","All Grades",2011,"All Students",411,"689","14","3.4","121","29.4","196","47.7","80","19.5","276","67.2"
"25430","27Q090","All Grades",2012,"All Students",409,"692","18","4.4","103","25.2","187","45.7","101","24.7","288","70.4"
"25431","27Q096","3",2006,"All Students",24,"677","1","4.2","3","12.5","16","66.7","4","16.7","20","83.3"
"25432","27Q096","3",2007,"All Students",26,"688","0","0","4","15.4","14","53.8","8","30.8","22","84.6"
"25433","27Q096","3",2008,"All Students",34,"689","0","0","2","5.9","25","73.5","7","20.6","32","94.1"
"25434","27Q096","3",2009,"All Students",38,"686","1","2.6","4","10.5","23","60.5","10","26.3","33","86.8"
"25435","27Q096","3",2010,"All Students",57,"684","11","19.3","19","33.3","15","26.3","12","21.1","27","47.4"
"25436","27Q096","3",2011,"All Students",36,"677","3","8.3","21","58.3","12","33.3","0","0","12","33.3"
"25437","27Q096","3",2012,"All Students",59,"687","1","1.7","19","32.2","36","61","3","5.1","39","66.1"
"25438","27Q096","4",2006,"All Students",26,"665","3","11.5","4","15.4","15","57.7","4","15.4","19","73.1"
"25439","27Q096","4",2007,"All Students",23,"678","0","0","3","13","16","69.6","4","17.4","20","87"
"25440","27Q096","4",2008,"All Students",26,"679","0","0","6","23.1","12","46.2","8","30.8","20","76.9"
"25441","27Q096","4",2009,"All Students",32,"693","0","0","1","3.1","22","68.8","9","28.1","31","96.9"
"25442","27Q096","4",2010,"All Students",34,"675","0","0","19","55.9","12","35.3","3","8.8","15","44.1"
"25443","27Q096","4",2011,"All Students",54,"674","5","9.3","21","38.9","20","37","8","14.8","28","51.9"
"25444","27Q096","4",2012,"All Students",34,"682","0","0","12","35.3","19","55.9","3","8.8","22","64.7"
"25445","27Q096","5",2006,"All Students",37,"676","2","5.4","9","24.3","14","37.8","12","32.4","26","70.3"
"25446","27Q096","5",2007,"All Students",21,"693","1","4.8","1","4.8","10","47.6","9","42.9","19","90.5"
"25447","27Q096","5",2008,"All Students",27,"680","0","0","1","3.7","20","74.1","6","22.2","26","96.3"
"25448","27Q096","5",2009,"All Students",29,"683","0","0","2","6.9","17","58.6","10","34.5","27","93.1"
"25449","27Q096","5",2010,"All Students",32,"685","0","0","11","34.4","16","50","5","15.6","21","65.6"
"25450","27Q096","5",2011,"All Students",33,"669","3","9.1","9","27.3","20","60.6","1","3","21","63.6"
"25451","27Q096","5",2012,"All Students",53,"676","7","13.2","13","24.5","28","52.8","5","9.4","33","62.3"
"25452","27Q096","6",2006,"All Students",38,"675","1","2.6","7","18.4","21","55.3","9","23.7","30","78.9"
"25453","27Q096","6",2007,"All Students",25,"686","0","0","2","8","16","64","7","28","23","92"
"25454","27Q096","6",2008,"All Students",19,"690","0","0","1","5.3","10","52.6","8","42.1","18","94.7"
"25455","27Q096","6",2009,"All Students",19,"682","0","0","1","5.3","14","73.7","4","21.1","18","94.7"
"25456","27Q096","6",2010,"All Students",28,"684","2","7.1","6","21.4","13","46.4","7","25","20","71.4"
"25457","27Q096","6",2011,"All Students",30,"682","0","0","10","33.3","14","46.7","6","20","20","66.7"
"25458","27Q096","6",2012,"All Students",29,"689","2","6.9","4","13.8","10","34.5","13","44.8","23","79.3"
"25459","27Q096","All Grades",2006,"All Students",125,"","7","5.6","23","18.4","66","52.8","29","23.2","95","76"
"25460","27Q096","All Grades",2007,"All Students",95,"","1","1.1","10","10.5","56","58.9","28","29.5","84","88.4"
"25461","27Q096","All Grades",2008,"All Students",106,"","0","0","10","9.4","67","63.2","29","27.4","96","90.6"
